        1	2014-11-30 13:09:17	87	0	1	0
        2	2014-11-30 13:23:22	87	0	1	0
        2	2014-11-30 13:23:42	87	0	1	0
        2	2014-11-30 13:23:52	87	0	1	0
        2	2014-11-30 13:24:13	87	5	1	0
        2	2014-11-30 13:24:57	87	0	1	0
        2	2014-11-30 13:25:10	87	0	1	0
        2	2014-11-30 13:37:08	87	5	1	0
        2	2014-11-30 13:37:21	87	0	1	0
        2	2014-11-30 13:38:09	87	0	1	0
        2	2014-11-30 13:38:15	87	5	1	0
        2	2014-11-30 13:38:24	87	5	1	0
        2	2014-11-30 14:22:07	87	5	1	0
        3	2014-11-30 17:27:48	87	5	1	0
        5	2014-11-30 17:28:56	87	0	0	0
        3	2014-11-30 17:29:20	87	5	1	0
        3	2014-11-30 17:31:26	87	0	1	0
        9	2014-12-01 09:42:46	87	0	0	0
        5	2014-12-01 10:00:58	87	0	0	0
        8	2014-12-01 10:01:20	87	0	1	0
        6	2014-12-01 10:04:05	87	0	0	0
       10	2014-12-01 10:07:08	87	0	1	0
       11	2014-12-01 10:13:43	87	0	0	0
       12	2014-12-01 10:16:01	87	0	1	0
       13	2014-12-01 10:41:09	87	0	0	0
        7	2014-12-01 10:46:57	87	0	1	0
        4	2014-12-01 14:42:17	87	0	1	0
       12	2014-12-01 18:38:42	87	5	1	0
        6	2014-12-01 19:30:52	87	5	0	0
       13	2014-12-01 19:37:27	87	5	0	0
       11	2014-12-01 19:37:35	87	5	0	0
       10	2014-12-01 19:37:56	87	5	1	0
        4	2014-12-01 20:05:05	87	5	1	0
        8	2014-12-01 20:07:08	87	0	1	0
        7	2014-12-01 20:08:08	87	0	1	0
        5	2014-12-01 20:13:51	87	5	0	0
        2	2014-12-01 21:01:28	87	0	1	0
        2	2014-12-01 21:01:32	87	0	1	0
       12	2014-12-02 09:29:42	87	0	1	0
        5	2014-12-02 09:39:15	87	0	0	0
        8	2014-12-02 10:00:34	87	0	1	0
        9	2014-12-02 10:03:16	87	0	0	0
       10	2014-12-02 10:04:00	87	0	1	0
        6	2014-12-02 10:09:12	87	0	0	0
        7	2014-12-02 10:20:04	87	0	1	0
       13	2014-12-02 10:27:35	87	0	0	0
        4	2014-12-02 11:02:51	87	0	1	0
        7	2014-12-02 17:58:17	87	0	1	0
       12	2014-12-02 18:42:06	87	5	1	0
