name,sku_code,studio_price,Main image,Angle image,publish,is_best_seller,is_featured_product,small_desc,long_desc,highlights,services,specifications,brand_color,size,category,sub_category,ideal_for,brand,type,inventory,sleeve,neck_front,neck_back,opening,fit,style,weave_type,pattern,embellished,embroidered,occasion,age_group,seller,designer,warranty,fabric/material,fabric_care/care,ean_upc,vat,measuring_unit,dimension_unit,package_length,package_width,package_height,package_weight,pack_of,sales_package,meta_desc,meta_keywords,disclaimer,is_rent,is_sell,rent_price,categories_id,bust_size,hips_size,waist_size
Fancy Daisy Finger Ring,RING218ON,950,RING218ON-950(1).jpg,"RING218ON-950(1).jpg, RING218ON-950(2).jpg, RING218ON-950(3).jpg, RING218ON-950(4).jpg, RING218ON-950(5).jpg, RING218ON-950(6).jpg",1,,,,,,,,Gold&Peach,,Jewellery,Finger Ring,Women,Sri Shringarr Fashion Studio,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,32,,,
Round Flower with Unique Stone Studded Petals Finger Ring,RING217ON,1250,RING217ON-1250(1).jpg,"RING217ON-1250(1).jpg, RING217ON-1250(2).jpg, RING217ON-1250(3).jpg, RING217ON-1250(4).jpg, RING217ON-1250(5).jpg, RING217ON-1250(6).jpg",1,,,,,,,,Gold&Green,,Jewellery,Finger Ring,Women,Sri Shringarr Fashion Studio,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,32,,,
Inverse Triangular Finger Ring,RING215ON,1000,RING215ON-1000(1).jpg,"RING215ON-1000(1).jpg, RING215ON-1000(2).jpg, RING215ON-1000(3).jpg, RING215ON-1000(4).jpg, RING215ON-1000(5).jpg, RING215ON-1000(6).jpg",1,,,,,,,,Gold&Green,,Jewellery,Finger Ring,Women,Sri Shringarr Fashion Studio,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,32,,,
Open Umbrella Finger Ring,RING219ON,1250,RING219ON-1250(1).jpg,"RING219ON-1250(1).jpg, RING219ON-1250(2).jpg, RING219ON-1250(3).jpg, RING219ON-1250(4).jpg, RING219ON-1250(5).jpg, RING219ON-1250(6).jpg",1,,,,,,,,"Gold,Pink&Peach",,Jewellery,Finger Ring,Women,Sri Shringarr Fashion Studio,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,32,,,
Oval Finger Ring with Precious Stones,RING216ON,1100,RING216ON-1100(1).jpg,"RING216ON-1100(1).jpg, RING216ON-1100(2).jpg, RING216ON-1100(3).jpg, RING216ON-1100(4).jpg, RING216ON-1100(5).jpg, RING216ON-1100(6).jpg",1,,,,,,,,"Gold,Pink,Green&Peach",,Jewellery,Finger Ring,Women,Sri Shringarr Fashion Studio,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,32,,,
