name,sku_code,studio_price,Main image,Angle image,publish,is_best_seller,is_featured_product,small_desc,long_desc,highlights,services,specifications,brand_color,size,category,sub_category,ideal_for,brand,type,inventory,sleeve,neck_front,neck_back,opening,fit,style,weave_type,pattern,embellished,embroidered,occasion,age_group,seller,designer,warranty,fabric/material,fabric_care/care,ean_upc,vat,measuring_unit,dimension_unit,package_length,package_width,package_height,package_weight,pack_of,sales_package,meta_desc,meta_keywords,disclaimer,is_rent,is_sell,rent_price,categories_id,bust_size,hips_size,waist_size
CZ/AD choker bridal necklace set with golden polish,K1565,21000,K1565-21000(1).jpg,K1565-21000(1).jpg,1,,,,"•CZ/AD choker bridal necklace set with golden polish
•This Necklace Set will compliment any Traditional or Modern attire. The colour compliments all outfits & may be worn as a statement piece to any occasion. Once you wear this Jewellery Set, you will look no less than a DIVA. Ideal Necklace Set for Party and Festive wear.
•Featuring attractive designs, this Necklace set can look elegant and stylish when worn with Anarkali, Lehengas, Gowns or Sarees. 
•So enhance your style quotient on almost any occasion by wearing this set. 
•This necklace & earrings are studded with American Diamond and Semi Precious Stones giving it a real look.
•Give a rich yet elegant touch to your attire. 
•This set has been intricately designed for all the jewellery lovers.",,,,GOLD & WHITE,,Jewellery,KUNDAN SET,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,26,,,
Antique choker necklace set with vilandi stone and tikka,K1568,15000,K1568-15000(1).jpg,K1568-15000(1).jpg,1,,,,"•Antique choker necklace set with vilandi stone and tikka
•This Necklace Set will compliment any Traditional or Modern attire. The colour compliments all outfits & may be worn as a statement piece to any occasion. Once you wear this Jewellery Set, you will look no less than a DIVA. Ideal Necklace Set for Party and Festive wear.
•Featuring attractive designs, this Necklace set can look elegant and stylish when worn with Anarkali, Lehengas, Gowns or Sarees. 
•So enhance your style quotient on almost any occasion by wearing this set. 
•This necklace & earrings are studded with American Diamond and Semi Precious Stones giving it a real look.
•Give a rich yet elegant touch to your attire. 
•This set has been intricately designed for all the jewellery lovers.",,,,GOLD,,Jewellery,KUNDAN SET,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,26,,,
Golden polished kundan nose pin ,N521,650,N521-650(1).jpg,N521-650(1).jpg,1,,,,"•Golden polished kundan nose pin 
•Give a rich and elegant touch to your attire.
•Special design for women who love to look different yet traditional.
•kundan nath with 1 strands of chain and golden beads.
•Featuring attractive designs, this nath (nose ring) can look elegant and stylish when worn with anarkali, lehengas, and sarees. 
•Comes micro gold polished.
•It has copper metal base. 

                 ",,,,"RED,WHITE & GOLD",,Jewellery,NATH,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,22,,,
"White, pink and green coloured kundan finger ring with pearls",RING220,1500,RING220-1500(1).jpg,"RING220-1500(1).jpg, RING220-1500(2).jpg",1,,,,"•White, pink and green coloured kundan finger ring with pearls
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this finger ring can look elegant and stylish when worn with anarkali, lehengas, sarees and western outfit as well.
 •It has copper metal base & is adjustable to fit any finger size. 
•Suitable for all age group of women.",,,,"GOLD ,PINK & GREEN",,Jewellery,RING,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,32,,,
White coloured kundan finger ring with pearls,RING220A,1500,RING220A-1500(1).jpg,"RING220A-1500(1).jpg, RING220A-1500(2).jpg",1,,,,"•White coloured kundan finger ring with pearls
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this finger ring can look elegant and stylish when worn with anarkali, lehengas, sarees and western outfit as well.
 •It has copper metal base & is adjustable to fit any finger size. 
•Suitable for all age group of women.",,,,GOLD,,Jewellery,RING,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,32,,,
"White, pink and green coloured kundan finger ring with pearls",RING220B,1500,RING220B-1500(1).jpg,"RING220B-1500(1).jpg, RING220B-1500(2).jpg",1,,,,"•White, pink and green coloured kundan finger ring with pearls
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this finger ring can look elegant and stylish when worn with anarkali, lehengas, sarees and western outfit as well.
 •It has copper metal base & is adjustable to fit any finger size. 
•Suitable for all age group of women.",,,,"GOLD ,PINK & GREEN",,Jewellery,RING,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,32,,,
White and ruby coloured uncut diamond finger ring with lime green enamel,RING224,900,RING224-900(1).jpg,RING224-900(1).jpg,1,,,,"•White and ruby coloured uncut diamond finger ring with lime green enamel
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this finger ring can look elegant and stylish when worn with anarkali, lehengas, sarees and western outfit as well.
 •It has copper metal base & is adjustable to fit any finger size. 
•Suitable for all age group of women.",,,,"GOLD ,PINK & GREEN",,Jewellery,RING,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,32,,,
White and ruby coloured uncut diamond finger ring with lime green enamel,RING224A,900,RING224A-900(1).jpg,"RING224A-900(1).jpg, RING224A-900(2).jpg",1,,,,"•White and ruby coloured uncut diamond finger ring with lime green enamel
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this finger ring can look elegant and stylish when worn with anarkali, lehengas, sarees and western outfit as well.
 •It has copper metal base & is adjustable to fit any finger size. 
•Suitable for all age group of women.",,,,"GOLD ,RED & GREEN",,Jewellery,RING,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,32,,,
White coloured uncut diamond and pearl finger ring with blue enamel,RING224C,900,RING224C-900(1).jpg,"RING224C-900(1).jpg, RING224C-900(2).jpg",1,,,,"•White coloured uncut diamond and pearl finger ring with blue enamel
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this finger ring can look elegant and stylish when worn with anarkali, lehengas, sarees and western outfit as well.
 •It has copper metal base & is adjustable to fit any finger size. 
•Suitable for all age group of women.",,,,GOLD & BLUE,,Jewellery,RING,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,32,,,
White coloured uncut diamond drop shaped finger ring with sky blue enamel,RING224D,900,RING224D-900(1).jpg,RING224D-900(1).jpg,1,,,,"White coloured uncut diamond drop shaped finger ring with sky blue enamel
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this finger ring can look elegant and stylish when worn with anarkali, lehengas, sarees and western outfit as well.
 •It has copper metal base & is adjustable to fit any finger size. 
•Suitable for all age group of women.",,,,GOLD & BLUE,,Jewellery,RING,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,32,,,
