name,sku_code,studio_price,main_image,angle_images,publish,is_best_seller,is_featured_product,small_desc,long_desc,highlights,services,specifications,brand_color,size,category,sub_category,ideal_for,brand,type,inventory,sleeve,neck_front,neck_back,opening,fit,style,weave_type,pattern,embellished,embroidered,occasion,age_group,seller,designer,warranty,fabric/material,fabric_care/care,ean_upc,vat,measuring_unit,dimension_unit,package_length,package_width,package_height,package_weight,pack_of,sales_package,meta_desc,meta_keywords,disclaimer,is_rent,is_sell,categories_id
Sri Shringarr Fashion Fancy Micro Gold Polished Bangles B193ON22.6,B193ON22.6,500,B193ON22.4-500 (66).jpg,"B193ON22.6-500 1 (5).jpg, B193ON22.6-500 1 (10).jpg",1,,,,"•Sri Shringarr Fashion Women's Real Look, Fancy Micro Gold Polished Bangles designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, these Bangles with intricate carvings around the circumference can look elegant and stylish when worn with Ethnic outfits like Anarkali, Lehengas or Sarees. 
 •It has a Copper metal base. 
 •Suitable for all age group of women.",,,,Gold,,Jewellery,BANGLES,Women,Sri Shringarr Fashion Studio,,6,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,micro gold polish,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,15
Sri Shringarr Fashion Fancy Micro Gold Polished Bangles B193ON22.4,B193ON22.4,500,B193ON22.4-500.jpg,"B193ON22.4-500  (5).jpg, B193ON22.4-500  (10).jpg",1,,,,"•Sri Shringarr Fashion Women's Real Look, Fancy Micro Gold Polished Bangles designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, these Bangles with intricate carvings around the circumference can look elegant and stylish when worn with Ethnic outfits like Anarkali, Lehengas or Sarees. 
 •It has a Copper metal base. 
 •Suitable for all age group of women.",,,,Gold,,Jewellery,BANGLES,Women,Sri Shringarr Fashion Studio,,6,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,micro gold polish,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,15
Sri Shringarr Fashion Fancy Micro Gold Polished American Diamond Bangles (B102ON22.4),B102ON22.4,1000,B102ON22.4-1000 (2).jpg,"B102ON22.4-1000 (9).jpg, B102ON22.4-1000 (5).jpg",1,,,,"•Sri Shringarr Fashion Women's Real Look, Fancy Micro Gold Polished with Champagne coloured American Diamond Bangles designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, these Bangles with intricate carvings around the circumference can look elegant and stylish when worn with Ethnic or Modern outfits like Anarkali, Lehengas, Sarees or Gowns.
 •It has a brass metal base. 
 •Suitable for all age group of women.",,,,Gold & Champagne,,Jewellery,BANGLES,Women,Sri Shringarr Fashion Studio,,1,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,American Diamond,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,2,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,15
Sri Shringarr Fashion Fancy Micro Gold Polished American Diamond Bangles (B103ON22.4),B103ON22.4,1800,B103ON22.4-1800 (2).jpg,"B103ON22.4-1800 (5).jpg, B103ON22.4-1800 (7).jpg, B103ON22.4-1800 8) (1).jpg",1,,,,"•Sri Shringarr Fashion Women's Real Look, Fancy Micro Gold Polished with White coloured American Diamond Bangles designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, these Bangles with intricate carvings around the circumference & a lock can look elegant and stylish when worn with Ethnic or Modern outfits like Anarkali, Lehengas, Sarees or Gowns.
 •It has a brass metal base. 
 •Suitable for all age group of women.",,,,Gold & White,,Jewellery,BANGLES,Women,Sri Shringarr Fashion Studio,,1,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,American Diamond,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,2,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,15
Sri Shringarr Fashion Fancy Micro Gold Polished American Diamond Bangles (B104ON22.4),B104ON22.4,4000,B104ON22.4-4000  (9).jpg,"B104ON22.4-4000  (5).jpg, B104ON22.4-4000  (7).jpg, B104ON22.4-4000  (8).jpg",1,,,,"•Sri Shringarr Fashion Women's Real Look, Fancy Micro Gold Polished with White coloured American Diamond Bangles designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, these Bangles can look elegant and stylish when worn with Ethnic or Modern outfits like Anarkali, Lehengas, Sarees or Gowns.
 •It has a brass metal base. 
 •Suitable for all age group of women.",,,,Gold & White,,Jewellery,BANGLES,Women,Sri Shringarr Fashion Studio,,1,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,American Diamond,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,2,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,15
Sri Shringarr Fashion Fancy Micro Gold Polished American Diamond Bangles (B101ON22.4),B101ON22.4,1200,B101ON22.4-1200 (3).JPG,"B101ON22.4-1200 (5).JPG, B101ON22.4-1200 (7).JPG",1,,,,"•Sri Shringarr Fashion Women's Real Look, Fancy Micro Gold Polished with White coloured American Diamond Bangles designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, these Bangles with intricate carvings around the circumference can look elegant and stylish when worn with Ethnic or Modern outfits like Anarkali, Lehengas, Sarees or Gowns.
 •It has a brass metal base. 
 •Suitable for all age group of women.",,,,Gold & White,,Jewellery,BANGLES,Women,Sri Shringarr Fashion Studio,,1,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,American Diamond,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,2,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,15
Sri Shringarr Fashion Fancy Micro Gold Polished Bangles B181ON22.4,B181ON22.4,675,B181ON22.4-675  (3) - Copy C.jpg,"B181ON22.4-675  (2) - Copy C.jpg, B181ON22.4-675  (5) - Copy C.jpg, B181ON22.4-675  (9) - Copy C.jpg",1,,,,"•Sri Shringarr Fashion Women's Real Look, Fancy Micro Gold Polished Bangles designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, these Bangles with intricate carvings around the circumference can look elegant and stylish when worn with Ethnic outfits like Anarkali, Lehengas or Sarees. 
 •It has a Copper metal base. 
 •Suitable for all age group of women.",,,,Gold,,Jewellery,Bangles,Women,Sri Shringarr Fashion Studio,,9,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,micro gold polish,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,15
Sri Shringarr Fashion Fancy Micro Gold Polished Bangles B181ON22.6,B181ON22.6,675,B181ON22.6-675  (8).jpg,"B181ON22.4-675  (2).jpg, B181ON22.4-675.jpg, B181ON22.4.jpg",1,,,,"•Sri Shringarr Fashion Women's Real Look, Fancy Micro Gold Polished Bangles designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, these Bangles with intricate carvings around the circumference can look elegant and stylish when worn with Ethnic outfits like Anarkali, Lehengas or Sarees. 
 •It has a Copper metal base. 
 •Suitable for all age group of women.",,,,Gold,,Jewellery,Bangles,Women,Sri Shringarr Fashion Studio,,12,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,micro gold polish,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,15
Sri Shringarr Fashion Fancy Micro Gold Polished Bangles B182ON22.6,B182ON22.6,450,B182ON22.6-450 (2).jpg,"B182ON22.6-450  (8).jpg, B182ON22.6-450  (10).jpg, B182ON22.6-450  (12).jpg, B182ON22.6-450  (14).jpg",1,,,,"•Sri Shringarr Fashion Women's Real Look, Fancy Micro Gold Polished Bangles designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, these Bangles with intricate carvings around the circumference can look elegant and stylish when worn with Ethnic outfits like Anarkali, Lehengas or Sarees. 
 •It has a Copper metal base. 
 •Suitable for all age group of women.",,,,Gold,,Jewellery,Bangles,Women,Sri Shringarr Fashion Studio,,11,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,"Pearl, micro gold polish","Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,15
Sri Shringarr Fashion Fancy Micro Gold Polished Bangles B182ON22.4,B182ON22.4,450,B182ON22.6-450.jpg,"B182ON22.6-450.jpg, B182ON22.6.jpg, B182ON22.6-450  (39).jpg, B182ON22.6-450 1.jpg",1,,,,"•Sri Shringarr Fashion Women's Real Look, Fancy Micro Gold Polished Bangles designed by Yosshita and Neha.
 •Give a rich and elegant touch to your attire.
 •Unique design for women who love to look different.
 •Featuring attractive designs, these Bangles with intricate carvings around the circumference can look elegant and stylish when worn with Ethnic outfits like Anarkali, Lehengas or Sarees. 
 •It has a Copper metal base. 
 •Suitable for all age group of women.",,,,Gold,,Jewellery,Bangles,Women,Sri Shringarr Fashion Studio,,12,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,"Pearl, micro gold polish","Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cms,inches,3.5,4,1.5,,,,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,15
