name,sku_code,studio_price,main_image,angle_images,publish,is_best_seller,is_featured_product,small_desc,long_desc,highlights,services,specifications,brand_color,size,category,sub_category,ideal_for,brand,type,inventory,sleeve,neck_front,neck_back,opening,fit,style,weave_type,pattern,embellished,embroidered,occasion,age_group,seller,designer,warranty,fabric/material,fabric_care/care,ean_upc,vat,measuring_unit,dimension_unit,package_length,package_width,package_height,package_weight,pack_of,sales_package,meta_desc,meta_keywords,disclaimer,is_rent,is_sell,categories_id
Sri Shringarr Fashion Fancy Micro Gold Polished American Diamond Bajubandh/Armlet. (BB106ON),BB106ON,2900,BB106ON-2900 (10).jpg,"BB106ON-2900 (2).jpg, BB106ON-2900 (4).jpg, BB106ON-2900 (6).jpg, BB106ON-2900 (12).jpg",,,,,"•Sri Shringarr Fashion Women's Real Look, Fancy Micro Gold Polished American Diamond Bajubandh/Armlet designed by Yosshita and Neha.
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this Bajubandh/Armlet can look elegant and stylish when worn with traditional & ethnic outfits like anarkali, lehengas, sarees & gowns.
•It has brass metal base. 
•Suitable for all age group of women.",,,,Gold & White,,Jewellery,Bajubandh/Armlet,Women,Sri Shringarr Fashion Studio,,3,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,American Diamond,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cm,inches,3.5,4,1.5,,1,1 Bajubandh/Armlet,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,19
Sri Shringarr Fashion Fancy Micro Gold Polished American Diamond Bajubandh/Armlet.(BB107ON),BB107ON,5100,BB107ON-5100 (23).jpg,"BB107ON-5100 (21).jpg, BB107ON-5100 (19).jpg, BB107ON-5100 (17).jpg, BB107ON-5100 (13).jpg",,,,,"•Sri Shringarr Fashion Women's Real Look, Fancy Micro Gold Polished American Diamond Bajubandh/Armlet designed by Yosshita and Neha.
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this Bajubandh/Armlet can look elegant and stylish when worn with traditional & ethnic outfits like anarkali, lehengas, sarees & gowns.
•It has brass metal base. 
•Suitable for all age group of women.",,,,Gold & White,,Jewellery,Bajubandh/Armlet,Women,Sri Shringarr Fashion Studio,,3,,,,,,,,,,,,,Sri Shringarr Fashion Studio,Yosshita & Neha,No warranty,American Diamond,"Make sure your jewellery is not in regular contact with hard surfaces, which will scratch or wear down the plating. Each piece is handmade and intricately done hence store separately to avoid breakage. Avoid contact with chemicals such as perfumes, sprays and water. Do not store in velvet boxes. Keep in airtight boxes. Wipe jewellery with a soft cotton cloth.",,,cm,inches,3.5,4,1.5,,1,1 Bajubandh/Armlet,,,Product colour may slightly vary due to photographic lighting sources or your monitor settings,,,19
